,State Code,1,2,4,5,6,8,9,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,53,55
Population,Population,473,138,1338,913,28104,1329,14026,475,63357,12213,1391,484,5545,1442,526,96,1156,2278,272,4649,71082,1757,1228,88,1404,693,2072,3391,30195,480,30464,4754,3337,1162,1725,8256,1552,3414,152,2164,12819,3691,233,3630,3653,933
Age,Age 0 to 4,0,0,0,0,91,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,214,0,386,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0
Age,Age 05 to 09,0,0,0,0,141,0,212,0,446,246,212,0,0,0,0,0,0,0,0,336,1720,0,0,0,0,0,0,0,610,0,154,0,0,0,0,88,0,199,0,0,70,0,0,188,99,0
Age,Age 10 to 19,121,0,128,87,1955,68,1603,0,6128,1643,451,0,303,0,0,33,254,327,92,419,6640,207,35,0,0,0,0,492,2043,0,3776,356,19,378,30,602,148,202,0,143,1814,294,0,131,660,0
Age,Age 20 to 24,176,0,112,136,2737,355,2138,0,4061,638,311,0,602,0,143,0,78,120,0,439,7311,68,413,0,0,693,0,417,4227,0,3487,121,1177,110,0,1699,0,589,10,411,1598,789,0,183,191,119
Age,Age 25 to 29,119,0,0,0,4127,56,1679,0,7751,1522,0,0,596,896,85,63,0,0,0,413,9358,0,397,0,30,0,205,1177,3652,0,2606,773,91,108,178,694,73,518,0,30,1121,130,0,531,687,89
Age,Age 30 to 34,0,0,320,0,3818,183,2323,0,8157,1320,0,0,292,93,92,0,0,282,0,483,12221,739,160,0,743,0,256,189,2697,110,2678,1040,721,167,207,1523,96,546,10,549,1291,0,0,215,254,178
Age,Age 35 to 39,0,0,111,178,3039,268,1034,70,8304,2604,198,199,1008,207,0,0,102,454,0,587,11550,181,0,0,115,0,182,313,3794,0,3907,544,293,0,70,1409,0,146,0,0,1680,774,40,530,156,390
Age,Age 40 to 44,0,138,60,95,4763,150,1735,165,8585,1406,52,285,1365,0,0,0,498,231,0,284,9989,170,0,0,308,0,378,579,4069,370,3845,434,335,399,463,173,65,462,0,292,838,781,193,433,776,36
Age,Age 45 to 49,0,0,124,114,2198,95,1583,240,7096,955,96,0,495,0,206,0,224,248,0,701,4179,111,112,0,0,0,423,224,3560,0,2810,757,52,0,312,507,679,116,0,186,1837,288,0,397,308,121
Age,Age 50 to 54,0,0,85,64,1865,154,649,0,4449,1397,0,0,501,77,0,0,0,616,52,614,4790,0,111,0,131,0,83,0,2382,0,2465,249,75,0,89,239,0,585,0,443,1209,635,0,158,344,0
Age,Age 55 to 59,0,0,120,83,1247,0,450,0,3273,286,71,0,106,74,0,0,0,0,0,216,1592,174,0,0,0,0,237,0,1397,0,1408,60,179,0,156,199,65,0,132,0,504,0,0,350,0,0
Age,Age 60 to 64,0,0,0,0,385,0,367,0,2499,122,0,0,174,0,0,0,0,0,0,13,565,0,0,0,0,0,67,0,682,0,1379,0,81,0,220,317,0,0,0,110,60,0,0,188,79,0
Age,Age 65 to 69,0,0,58,0,829,0,176,0,1153,0,0,0,0,0,0,0,0,0,0,0,370,0,0,88,77,0,0,0,486,0,406,357,0,0,0,140,0,51,0,0,133,0,0,112,0,0
Age,Age 70 to 74,0,0,61,0,318,0,0,0,353,0,0,0,0,0,0,0,0,0,0,144,298,0,0,0,0,0,122,0,168,0,133,0,0,0,0,0,272,0,0,0,284,0,0,136,99,0
Age,Age 75 to 79,0,0,91,0,335,0,0,0,585,0,0,0,103,95,0,0,0,0,128,0,195,0,0,0,0,0,61,0,160,0,369,63,169,0,0,666,0,0,0,0,172,0,0,0,0,0
